,gas,oil,kohle,co2
2022-11-28,124.28,73.58,240.75,NaN
2022-11-29,124.28,76.26,256.0,81.79
2022-11-30,139.88,78.4,256.0,85.2
2022-12-01,136.75,79.94,265.0,85.18
2022-12-02,136.75,79.64,268.0,88.35
2022-12-05,134.99,76.75,262.25,87.33
2022-12-06,134.99,73.41,266.65,88.8
2022-12-07,139.57,71.76,263.3,88.37
2022-12-08,135.0,71.1,256.5,89.13
2022-12-09,135.0,70.09,252.0,87.84
2022-12-12,137.1,70.25,259.0,90.05
2022-12-13,139.57,73.22,247.0,89.2
2022-12-14,133.27,74.91,240.6,89.8
2022-12-15,133.27,75.34,240.0,89.08
2022-12-16,115.82,73.32,234.2,87.29
2022-12-19,106.53,73.8,230.5,87.74
2022-12-20,106.53,74.46,233.95,89.47
2022-12-21,94.29,75.79,228.0,87.91
2022-12-22,89.02,77.03,230.0,89.31
2022-12-23,83.5,77.98,228.7,89.57
2022-12-27,NaN,79.15,223.35,88.52
