,price_real,biomasse_mwh,wasserkraft_mwh,photovoltaik_mwh_real,sonstige_ee_mwh,kernenergie_mwh,braunkohle_mwh,steinkohle_mwh,erdgas_mwh,pumpspeicher_mwh,sonstige_konv_mwh,wind_sum_mwh_real,netzlast_mwh_real,photovoltaik_mwh_forec,wind_sum_mwh_forec,netzlast_mwh_forec,oil,kohle,co2,gas_6am
2022-12-09 00:00:00,334.01,4813.25,1135.0,0.0,181.25,3676.75,13911.75,14524.25,11644.5,172.25,1139.75,3566.75,53492.0,0.0,2932.25,53221.5,70.09,239.24,87.84,135.0
2022-12-09 01:00:00,306.42,4812.0,1134.25,0.0,185.0,3554.75,13783.25,14322.5,10976.0,262.25,1147.0,3760.25,51172.75,0.0,3371.25,51393.75,70.09,239.24,87.84,135.0
2022-12-09 02:00:00,302.38,4803.75,1099.5,0.0,185.75,3509.0,13653.5,14193.25,10849.0,257.75,1144.25,4098.5,50407.25,0.0,3634.25,50864.0,70.09,239.24,87.84,135.0
2022-12-09 03:00:00,298.49,4785.5,1083.5,0.0,185.5,3570.5,13574.0,14157.5,10973.0,191.75,1163.5,4428.25,50442.25,0.0,3812.25,51219.5,70.09,239.24,87.84,135.0
2022-12-09 04:00:00,304.04,4771.25,1081.25,0.0,185.25,3615.5,13681.75,13937.25,10907.75,159.75,1136.5,4748.5,51671.0,0.0,4083.75,52613.0,70.09,239.24,87.84,135.0
2022-12-09 05:00:00,317.66,4762.0,1094.0,0.0,185.25,3597.25,13996.0,12934.0,12427.25,211.0,1136.75,5124.75,54860.25,0.0,4318.0,55762.0,70.09,239.24,87.84,135.0
2022-12-09 06:00:00,358.77,4761.75,1173.75,0.0,187.0,3665.5,14569.25,13077.25,15015.75,996.75,1210.75,5362.0,60488.25,0.0,4572.0,61277.0,70.09,239.24,87.84,135.0
2022-12-09 07:00:00,455.38,4740.75,1252.75,1.25,188.0,3763.25,14953.5,13110.75,15920.5,2246.25,1414.75,6099.25,65374.75,5.5,4716.0,66286.5,70.09,239.24,87.84,135.0
2022-12-09 08:00:00,474.29,4780.5,1258.5,275.5,188.0,3773.0,15385.0,13227.5,16825.75,3613.25,1561.25,6019.25,68280.0,433.75,4726.5,69174.5,70.09,239.24,87.84,135.0
2022-12-09 09:00:00,474.7,4793.25,1341.0,1687.75,188.0,3770.5,15682.0,13357.25,17275.5,4050.5,1705.5,5134.5,69204.25,2025.25,4784.25,69830.0,70.09,239.24,87.84,135.0
2022-12-09 10:00:00,471.33,4788.0,1264.0,3492.25,188.0,3768.25,15670.75,13324.25,17294.75,2921.5,1726.25,4222.25,69546.75,3978.75,4719.75,71020.25,70.09,239.24,87.84,135.0
2022-12-09 11:00:00,484.16,4785.5,1199.75,4499.5,188.0,3765.25,15668.5,13326.5,17264.0,2938.25,1727.0,3342.75,69233.25,5266.0,4486.0,71845.25,70.09,239.24,87.84,135.0
2022-12-09 12:00:00,481.1,4795.25,1191.0,4549.0,188.0,3764.0,15647.0,13361.0,17143.0,2099.5,1728.0,3525.75,68169.0,5354.75,4365.5,71497.75,70.09,239.24,87.84,135.0
2022-12-09 13:00:00,470.0,4810.0,1200.5,3768.25,188.0,3763.5,15633.0,13415.25,17015.75,725.5,1528.5,4003.25,68137.0,4343.25,4328.5,69944.5,70.09,239.24,87.84,135.0
2022-12-09 14:00:00,476.44,4809.5,1228.5,2127.0,188.0,3762.75,15580.25,13432.0,17207.75,1083.0,1313.25,3887.75,66605.0,2573.0,4205.25,68662.5,70.09,239.24,87.84,135.0
2022-12-09 15:00:00,473.91,4855.0,1229.5,605.5,188.0,3761.5,15445.0,13421.5,17221.0,1466.5,1313.0,4178.0,66116.0,866.25,4170.5,68104.5,70.09,239.24,87.84,135.0
2022-12-09 16:00:00,474.88,4892.25,1261.25,13.25,188.0,3761.25,15192.75,13708.0,17297.5,2763.25,1396.25,4560.5,66358.0,77.25,4442.0,68734.5,70.09,239.24,87.84,135.0
2022-12-09 17:00:00,507.91,4893.0,1283.5,0.0,188.0,3733.75,14811.5,13796.25,17573.75,6937.5,1419.75,4894.5,67600.0,0.0,4800.25,70204.25,70.09,239.24,87.84,135.0
2022-12-09 18:00:00,477.37,4898.75,1281.75,0.0,188.0,3655.5,14656.0,14252.75,17339.5,5004.25,1358.5,5233.0,66551.5,0.0,5036.25,69664.25,70.09,239.24,87.84,135.0
2022-12-09 19:00:00,451.51,4893.75,1249.75,0.0,188.0,3584.25,14354.25,14662.25,16963.0,2538.25,1353.25,5155.25,64742.0,0.0,5251.75,67285.5,70.09,239.24,87.84,135.0
2022-12-09 20:00:00,440.0,4893.75,1297.25,0.0,188.0,3492.25,13560.25,14766.25,15694.25,1567.75,1343.5,5105.5,61752.0,0.0,5321.0,63285.0,70.09,239.24,87.84,135.0
2022-12-09 21:00:00,376.0,4961.75,1247.0,0.0,188.0,3492.25,13543.25,14265.0,14843.5,563.25,1200.75,4733.0,59246.75,0.0,5324.0,60300.75,70.09,239.24,87.84,135.0
2022-12-09 22:00:00,338.04,4987.75,1225.0,0.0,188.0,3492.5,13344.0,13654.25,13798.25,343.5,1184.75,4881.75,56785.0,0.0,5289.25,58026.0,70.09,239.24,87.84,135.0
2022-12-09 23:00:00,316.22,5018.75,1202.25,0.0,188.0,3491.5,13324.25,13709.25,11219.0,96.0,1185.25,4927.5,54297.75,0.0,5203.75,55242.0,70.09,239.24,87.84,135.0
2022-12-10 00:00:00,312.48,4974.5,1165.5,0.0,188.0,3532.5,12572.25,13774.0,10459.5,363.25,1163.0,4531.0,52348.75,0.0,4342.5,50692.75,70.09,239.24,87.84,135.0
2022-12-10 01:00:00,306.0,4908.5,1159.25,0.0,188.0,3617.75,12500.75,13931.75,10481.5,301.5,1166.75,4028.5,50112.5,0.0,4145.5,48320.5,70.09,239.24,87.84,135.0
2022-12-10 02:00:00,290.79,4846.0,1139.25,0.0,188.0,3666.75,12516.0,13989.5,10271.5,174.0,1166.0,3733.25,49408.25,0.0,3838.75,47759.0,70.09,239.24,87.84,135.0
2022-12-10 03:00:00,287.26,4797.0,1116.0,0.0,188.0,3674.0,12866.5,13953.75,10258.5,161.0,1161.75,3403.0,48583.75,0.0,3581.5,47856.25,70.09,239.24,87.84,135.0
2022-12-10 04:00:00,284.9,4790.0,1110.25,0.0,188.0,3689.0,13115.75,13844.5,9960.5,160.75,1157.75,3428.75,48358.75,0.0,3375.0,48115.5,70.09,239.24,87.84,135.0
2022-12-10 05:00:00,287.15,4773.5,1111.75,0.0,188.0,3698.75,13122.75,13823.5,9835.0,161.75,1159.25,3622.0,48792.0,0.0,3286.0,48374.0,70.09,239.24,87.84,135.0
