,Price elec DE/LU [€/MWh],Biomasse[MWh],Wasserkraft[MWh],Photovoltaik[MWh]_real,Sonstige Erneuerbare[MWh],Kernenergie[MWh],Braunkohle[MWh],Steinkohle[MWh],Erdgas[MWh],Pumpspeicher[MWh],Sonstige Konventionelle[MWh],Wind_Sum[MWh]_real,Gesamt Netzlast[MWh]_real,Photovoltaik[MWh]_forec,Wind_Sum[MWh]_forec,Gesamt Netzlast[MWh]_forec,DA_Oil,DA_Coal,DA_CO2,Gas_6am
2022-11-15 00:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 01:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 02:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 03:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 04:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 05:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,107.13
2022-11-15 06:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 07:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 08:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 09:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 10:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 11:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 12:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 13:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 14:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 15:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 16:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 17:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 18:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 19:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 20:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 21:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 22:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-15 23:00:00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,84.07,193.3,77.48,116.64
2022-11-16 00:00:00,79.17,4911.0,1273.0,0.0,128.0,3954.0,14749.0,5634.0,5130.0,100.0,637.0,22642.0,49536.0,0.0,24290.0,50300.0,84.18,192.39,73.65,116.64
2022-11-16 01:00:00,79.18,4914.0,1223.0,0.0,128.0,3952.0,14831.0,5362.0,5133.0,163.0,630.0,22800.0,48205.0,0.0,24276.0,48756.0,84.18,192.39,73.65,116.64
2022-11-16 02:00:00,79.15,4906.0,1257.0,0.0,128.0,3955.0,14803.0,4737.0,5085.0,182.0,628.0,22739.0,48315.0,0.0,24508.0,48422.0,84.18,192.39,73.65,116.64
2022-11-16 03:00:00,70.49,4892.0,1195.0,0.0,128.0,3956.0,14449.0,4629.0,4949.0,160.0,625.0,22936.0,49040.0,0.0,24880.0,48853.0,84.18,192.39,73.65,116.64
2022-11-16 04:00:00,70.49,4867.0,1276.0,0.0,128.0,3956.0,14355.0,4767.0,5097.0,162.0,623.0,23362.0,50368.0,0.0,25317.0,50243.0,84.18,192.39,73.65,116.64
2022-11-16 05:00:00,79.18,4848.0,1357.0,0.0,128.0,3956.0,14736.0,5345.0,5476.0,180.0,630.0,23990.0,53308.0,0.0,25647.0,53367.0,84.18,192.39,73.65,116.64
2022-11-16 06:00:00,120.01,4827.0,1401.0,0.0,128.0,3953.0,15037.0,7318.0,6069.0,599.0,617.0,24925.0,59055.0,0.0,26154.0,59289.0,84.18,192.39,73.65,116.64
2022-11-16 07:00:00,151.33,4820.0,1546.0,27.0,128.0,3952.0,15259.0,9137.0,6548.0,3047.0,614.0,23804.0,63785.0,70.0,25791.0,63559.0,84.18,192.39,73.65,116.64
2022-11-16 08:00:00,168.15,4830.0,1355.0,691.0,128.0,3952.0,15740.0,9916.0,6549.0,3477.0,620.0,23083.0,66666.0,881.0,25120.0,66960.0,84.18,192.39,73.65,116.64
2022-11-16 09:00:00,176.09,4845.0,1434.0,2624.0,128.0,3954.0,15773.0,10291.0,6545.0,3044.0,791.0,21360.0,66764.0,2560.0,24067.0,67894.0,84.18,192.39,73.65,116.64
2022-11-16 10:00:00,174.42,4867.0,1467.0,5160.0,128.0,3955.0,15673.0,10315.0,6351.0,2511.0,947.0,19224.0,69836.0,4442.0,22961.0,69353.0,84.18,192.39,73.65,116.64
2022-11-16 11:00:00,163.78,4816.0,1482.0,6646.0,136.0,3955.0,14987.0,10467.0,6230.0,1833.0,960.0,18904.0,68729.0,5927.0,21878.0,70402.0,84.18,192.39,73.65,116.64
2022-11-16 12:00:00,180.48,4754.0,1435.0,7154.0,144.0,3951.0,14590.0,10472.0,6162.0,605.0,986.0,19825.0,67837.0,6433.0,20488.0,69929.0,84.18,192.39,73.65,116.64
2022-11-16 13:00:00,184.01,4770.0,1402.0,6608.0,150.0,3952.0,14679.0,10460.0,6254.0,493.0,986.0,19308.0,67506.0,5792.0,19251.0,68703.0,84.18,192.39,73.65,116.64
2022-11-16 14:00:00,201.07,4776.0,1436.0,4751.0,152.0,3949.0,14633.0,10469.0,6282.0,1790.0,994.0,18591.0,65947.0,4241.0,18330.0,67328.0,84.18,192.39,73.65,116.64
2022-11-16 15:00:00,220.58,4797.0,1427.0,2046.0,152.0,3948.0,14626.0,10374.0,6327.0,2107.0,783.0,19588.0,65882.0,1930.0,18112.0,65646.0,84.18,192.39,73.65,116.64
2022-11-16 16:00:00,236.1,4800.0,1560.0,157.0,152.0,3948.0,14625.0,10414.0,6461.0,3285.0,698.0,20512.0,66216.0,272.0,18943.0,65439.0,84.18,192.39,73.65,116.64
2022-11-16 17:00:00,241.41,4809.0,1604.0,0.0,152.0,3946.0,14645.0,10162.0,6910.0,5656.0,694.0,22635.0,67870.0,0.0,20484.0,67513.0,84.18,192.39,73.65,116.64
2022-11-16 18:00:00,202.94,4830.0,1402.0,0.0,152.0,3948.0,14626.0,9944.0,6916.0,4429.0,689.0,24058.0,67151.0,0.0,22161.0,67319.0,84.18,192.39,73.65,116.64
2022-11-16 19:00:00,163.72,4836.0,1349.0,0.0,147.0,3949.0,14548.0,9521.0,6798.0,2609.0,684.0,25144.0,65590.0,0.0,23766.0,65926.0,84.18,192.39,73.65,116.64
2022-11-16 20:00:00,146.08,4829.0,1301.0,0.0,132.0,3949.0,14509.0,8585.0,6249.0,816.0,646.0,25977.0,62202.0,0.0,24730.0,62537.0,84.18,192.39,73.65,116.64
2022-11-16 21:00:00,114.1,4818.0,1268.0,0.0,138.0,3953.0,13662.0,6808.0,5942.0,176.0,652.0,27381.0,58540.0,0.0,25691.0,59363.0,84.18,192.39,73.65,116.64
2022-11-16 22:00:00,83.32,4782.0,1320.0,0.0,135.0,3954.0,12864.0,6024.0,5647.0,194.0,647.0,28326.0,56805.0,0.0,26408.0,56546.0,84.18,192.39,73.65,116.64
2022-11-16 23:00:00,64.91,4772.0,1286.0,0.0,129.0,3954.0,10431.0,5968.0,5475.0,18.0,639.0,29191.0,54060.0,0.0,27630.0,53544.0,84.18,192.39,73.65,116.64
2022-11-17 00:00:00,47.95,4777.0,1234.0,0.0,128.0,3945.0,8812.0,5800.0,4026.0,82.0,649.0,30355.0,51055.0,0.0,32326.0,50652.0,81.4,194.9,72.13,116.64
2022-11-17 01:00:00,23.92,4798.0,1287.0,0.0,128.0,3951.0,7713.0,5245.0,3972.0,197.0,654.0,32085.0,49352.0,0.0,34130.0,49096.0,81.4,194.9,72.13,116.64
2022-11-17 02:00:00,16.45,4756.0,1291.0,0.0,122.0,3949.0,7608.0,5067.0,3958.0,224.0,609.0,33583.0,48924.0,0.0,35752.0,48712.0,81.4,194.9,72.13,116.64
2022-11-17 03:00:00,10.39,4734.0,1319.0,0.0,120.0,3948.0,7629.0,5167.0,3973.0,221.0,599.0,33770.0,49057.0,0.0,37069.0,49059.0,81.4,194.9,72.13,116.64
2022-11-17 04:00:00,5.88,4718.0,1336.0,0.0,120.0,3948.0,7656.0,5347.0,4112.0,214.0,591.0,33472.0,50045.0,0.0,38204.0,50420.0,81.4,194.9,72.13,116.64
2022-11-17 05:00:00,11.06,4714.0,1380.0,0.0,120.0,3949.0,7733.0,5743.0,4160.0,228.0,587.0,35299.0,54462.0,0.0,39063.0,54064.0,81.4,194.9,72.13,116.64
2022-11-17 06:00:00,66.55,4713.0,1293.0,0.0,120.0,3946.0,8512.0,6441.0,4349.0,138.0,583.0,38258.0,62839.0,0.0,40301.0,59982.0,81.4,194.9,72.13,107.37
2022-11-17 07:00:00,84.84,4732.0,1232.0,30.0,125.0,3946.0,10643.0,7223.0,5303.0,880.0,719.0,38861.0,67950.0,88.0,40350.0,64300.0,81.4,194.9,72.13,107.37
2022-11-17 08:00:00,96.08,4728.0,1344.0,734.0,132.0,3945.0,11440.0,8005.0,5275.0,1469.0,865.0,38230.0,70175.0,1137.0,40057.0,67546.0,81.4,194.9,72.13,107.37
2022-11-17 09:00:00,89.9,4736.0,1235.0,2513.0,135.0,3944.0,11401.0,8194.0,5286.0,800.0,1101.0,37394.0,71167.0,3110.0,39490.0,68231.0,81.4,194.9,72.13,107.37
2022-11-17 10:00:00,83.65,4721.0,1252.0,4170.0,134.0,3943.0,11311.0,8360.0,5013.0,694.0,1198.0,36499.0,72896.0,5146.0,39008.0,69294.0,81.4,194.9,72.13,107.37
2022-11-17 11:00:00,86.78,4746.0,1226.0,5249.0,142.0,3940.0,11503.0,8457.0,4779.0,538.0,1308.0,36156.0,73555.0,6431.0,38275.0,70369.0,81.4,194.9,72.13,107.37
